,y
2017-03-06,63.64
2017-03-07,63.68
2017-03-08,64.23
2017-03-09,63.95
2017-03-10,64.62
2017-03-13,67.23
2017-03-14,67.9
2017-03-15,68.98
2017-03-16,68.96
2017-03-17,68.61
2017-03-20,68.0
2017-03-21,65.52
2017-03-22,65.99
2017-03-23,65.88
2017-03-24,66.14
2017-03-27,66.6
2017-03-28,67.38
2017-03-29,67.47
2017-03-30,67.9
2017-03-31,67.47
2017-04-03,65.59
2017-04-04,63.69
2017-04-05,62.94
2017-04-06,62.97
2017-04-07,62.98
2017-04-10,63.31
2017-04-11,62.79
2017-04-12,62.26
2017-04-13,61.82
2017-04-17,62.62
2017-04-18,62.32
2017-04-19,63.18
2017-04-20,65.3
2017-04-21,64.21
2017-04-24,66.43
2017-04-25,66.57
2017-04-26,66.43
2017-04-27,67.02
2017-04-28,67.39
2017-05-01,67.06
2017-05-02,65.76
2017-05-03,72.93
2017-05-04,73.81
2017-05-05,73.51
2017-05-08,73.27
2017-05-09,73.99
2017-05-10,73.56
2017-05-11,72.82
2017-05-12,72.67
2017-05-15,72.67
2017-05-16,72.98
2017-05-17,71.42
2017-05-18,71.36
2017-05-19,72.0
2017-05-22,73.01
2017-05-23,72.42
2017-05-24,72.51
2017-05-25,72.62
2017-05-26,73.34
2017-05-30,72.59
2017-05-31,73.74
2017-06-01,74.75
2017-06-02,74.64
2017-06-05,73.87
2017-06-06,74.48
2017-06-07,73.93
2017-06-08,72.11
2017-06-09,71.83
2017-06-12,71.38
2017-06-13,72.61
2017-06-14,72.03
2017-06-15,72.01
2017-06-16,71.26
2017-06-19,72.51
2017-06-20,70.68
2017-06-21,71.93
2017-06-22,71.88
2017-06-23,72.11
2017-06-26,72.54
2017-06-27,72.5
2017-06-28,72.93
2017-06-29,72.45
2017-06-30,73.47
2017-07-03,73.6
2017-07-05,73.68
2017-07-06,72.7
2017-07-07,74.7
2017-07-10,76.22
2017-07-11,76.92
2017-07-12,77.62
2017-07-13,76.93
