Date,APTV
3/6/17,63.64
3/7/17,63.68
3/8/17,64.23
3/9/17,63.95
3/10/17,64.62
3/13/17,67.23
3/14/17,67.90
3/15/17,68.98
3/16/17,68.96
3/17/17,68.61
3/20/17,68.00
3/21/17,65.52
3/22/17,65.99
3/23/17,65.88
3/24/17,66.14
3/27/17,66.60
3/28/17,67.38
3/29/17,67.47
3/30/17,67.90
3/31/17,67.47
4/3/17,65.59
4/4/17,63.69
4/5/17,62.94
4/6/17,62.97
4/7/17,62.98
4/10/17,63.31
4/11/17,62.79
4/12/17,62.26
4/13/17,61.82
4/17/17,62.62
4/18/17,62.32
4/19/17,63.18
4/20/17,65.30
4/21/17,64.21
4/24/17,66.43
4/25/17,66.57
4/26/17,66.43
4/27/17,67.02
4/28/17,67.39
5/1/17,67.06
5/2/17,65.76
5/3/17,72.93
5/4/17,73.81
5/5/17,73.51
5/8/17,73.27
5/9/17,73.99
5/10/17,73.56
5/11/17,72.82
5/12/17,72.67
5/15/17,72.67
5/16/17,72.98
5/17/17,71.42
5/18/17,71.36
5/19/17,72.00
5/22/17,73.01
5/23/17,72.42
5/24/17,72.51
5/25/17,72.62
5/26/17,73.34
5/30/17,72.59
5/31/17,73.74
6/1/17,74.75
6/2/17,74.64
6/5/17,73.87
6/6/17,74.48
6/7/17,73.93
6/8/17,72.11
6/9/17,71.83
6/12/17,71.38
6/13/17,72.61
6/14/17,72.03
6/15/17,72.01
6/16/17,71.26
6/19/17,72.51
6/20/17,70.68
6/21/17,71.93
6/22/17,71.88
6/23/17,72.11
6/26/17,72.54
6/27/17,72.50
6/28/17,72.93
6/29/17,72.45
6/30/17,73.47
7/3/17,73.60
7/5/17,73.68
7/6/17,72.70
7/7/17,74.70
7/10/17,76.22
7/11/17,76.92
7/12/17,77.62
7/13/17,76.93
7/14/17,76.64
7/17/17,77.06
7/18/17,76.79
7/19/17,77.86
7/20/17,78.04
7/21/17,76.22
7/24/17,75.86
7/25/17,76.22
7/26/17,76.00
7/27/17,75.87
7/28/17,75.40
7/31/17,75.79
8/1/17,75.30
8/2/17,76.30
8/3/17,77.84
