Date,MO
3/6/17,75.58
3/7/17,76.10
3/8/17,75.84
3/9/17,76.19
3/10/17,76.45
3/13/17,75.65
3/14/17,75.34
3/15/17,75.67
3/16/17,75.30
3/17/17,75.16
3/20/17,75.58
3/21/17,75.93
3/22/17,75.07
3/23/17,74.02
3/24/17,73.17
3/27/17,73.20
3/28/17,73.19
3/29/17,72.96
3/30/17,72.05
3/31/17,71.42
4/3/17,71.62
4/4/17,71.95
4/5/17,71.93
4/6/17,71.42
4/7/17,71.71
4/10/17,71.76
4/11/17,72.08
4/12/17,72.16
4/13/17,71.30
4/17/17,72.31
4/18/17,72.34
4/19/17,72.11
4/20/17,71.41
4/21/17,71.47
4/24/17,72.55
4/25/17,72.43
4/26/17,71.51
4/27/17,71.53
4/28/17,71.78
5/1/17,70.80
5/2/17,70.83
5/3/17,70.22
5/4/17,70.31
5/5/17,70.92
5/8/17,70.71
5/9/17,70.29
5/10/17,70.31
5/11/17,70.48
5/12/17,70.65
5/15/17,70.67
5/16/17,70.95
5/17/17,70.55
5/18/17,70.54
5/19/17,70.90
5/22/17,72.04
5/23/17,72.13
5/24/17,72.85
5/25/17,74.14
5/26/17,74.41
5/30/17,75.07
5/31/17,75.44
6/1/17,75.40
6/2/17,75.12
6/5/17,75.06
6/6/17,75.27
6/7/17,75.61
6/8/17,75.21
6/9/17,75.46
6/12/17,75.40
6/13/17,74.95
6/14/17,75.75
6/15/17,76.41
6/16/17,77.28
6/19/17,77.71
6/20/17,77.33
6/21/17,77.03
6/22/17,76.48
6/23/17,76.49
6/26/17,76.53
6/27/17,75.38
6/28/17,75.84
6/29/17,74.40
6/30/17,74.47
7/3/17,74.53
7/5/17,74.61
7/6/17,74.32
7/7/17,74.25
7/10/17,73.69
7/11/17,73.43
7/12/17,73.89
7/13/17,73.48
7/14/17,73.93
7/17/17,73.37
7/18/17,73.33
7/19/17,73.55
7/20/17,73.59
7/21/17,73.42
7/24/17,72.64
7/25/17,72.24
7/26/17,71.73
7/27/17,73.96
7/28/17,66.94
7/31/17,64.97
8/1/17,65.50
8/2/17,65.55
8/3/17,65.54
8/4/17,65.52
8/7/17,65.99
8/8/17,65.38
8/9/17,65.31
8/10/17,64.77
8/11/17,64.31
8/14/17,64.84
8/15/17,65.30
8/16/17,65.45
8/17/17,64.30
8/18/17,63.69
8/21/17,64.39
8/22/17,64.06
8/23/17,63.71
8/24/17,63.60
8/25/17,64.08
8/28/17,63.93
8/29/17,63.81
8/30/17,64.05
8/31/17,63.40
9/1/17,63.54
9/5/17,62.87
9/6/17,63.27
9/7/17,62.73
9/8/17,62.23
9/11/17,62.49
9/12/17,62.50
9/13/17,62.51
9/14/17,62.28
9/15/17,62.39
9/18/17,62.56
9/19/17,62.23
9/20/17,61.22
9/21/17,61.50
9/22/17,62.49
9/25/17,63.79
9/26/17,64.52
9/27/17,64.41
9/28/17,64.19
9/29/17,63.42
10/2/17,62.90
10/3/17,63.37
10/4/17,63.49
10/5/17,63.81
10/6/17,62.55
10/9/17,63.57
10/10/17,65.01
10/11/17,64.87
10/12/17,65.35
10/13/17,65.05
10/16/17,65.37
10/17/17,64.87
10/18/17,64.81
10/19/17,64.37
10/20/17,65.00
10/23/17,64.50
10/24/17,64.13
10/25/17,63.79
10/26/17,65.79
10/27/17,64.92
10/30/17,64.05
10/31/17,64.22
11/1/17,64.70
11/2/17,63.90
11/3/17,63.91
11/6/17,63.45
11/7/17,64.31
11/8/17,64.59
11/9/17,64.51
11/10/17,65.02
11/13/17,65.84
11/14/17,65.73
11/15/17,65.26
11/16/17,65.88
11/17/17,66.42
11/20/17,65.83
11/21/17,65.65
11/22/17,65.49
11/24/17,65.48
11/27/17,65.07
11/28/17,66.40
11/29/17,67.37
11/30/17,67.83
12/1/17,68.58
12/4/17,70.08
12/5/17,70.18
12/6/17,71.66
12/7/17,71.50
12/8/17,71.54
12/11/17,71.65
12/12/17,71.72
12/13/17,72.32
12/14/17,71.79
12/15/17,71.67
12/18/17,72.65
12/19/17,73.90
12/20/17,72.60
12/21/17,71.94
12/22/17,72.14
12/26/17,72.08
12/27/17,72.43
12/28/17,71.27
12/29/17,71.41
1/2/18,70.74
1/3/18,70.48
1/4/18,70.20
1/5/18,70.40
1/8/18,70.31
1/9/18,69.57
1/10/18,70.29
1/11/18,70.29
1/12/18,69.61
1/16/18,68.92
1/17/18,70.15
1/18/18,70.03
1/19/18,71.12
1/22/18,71.28
1/23/18,71.45
1/24/18,71.56
1/25/18,69.91
1/26/18,71.02
1/29/18,69.83
1/30/18,69.82
