Date,NEM
3/6/17,33.01
3/7/17,32.98
3/8/17,32.89
3/9/17,32.60
3/10/17,32.94
3/13/17,33.02
3/14/17,32.40
3/15/17,34.10
3/16/17,32.81
3/17/17,32.84
3/20/17,33.56
3/21/17,34.03
3/22/17,33.84
3/23/17,33.62
3/24/17,33.48
3/27/17,33.91
3/28/17,33.00
3/29/17,33.19
3/30/17,32.93
3/31/17,32.96
4/3/17,33.89
4/4/17,34.19
4/5/17,34.31
4/6/17,34.17
4/7/17,34.31
4/10/17,34.61
4/11/17,35.13
4/12/17,35.08
4/13/17,34.50
4/17/17,34.59
4/18/17,34.32
4/19/17,33.52
4/20/17,33.67
4/21/17,34.13
4/24/17,33.71
4/25/17,32.89
4/26/17,32.98
4/27/17,32.91
4/28/17,33.81
5/1/17,32.68
5/2/17,33.01
5/3/17,32.69
5/4/17,32.28
5/5/17,32.73
5/8/17,32.68
5/9/17,32.76
5/10/17,32.95
5/11/17,33.48
5/12/17,33.75
5/15/17,33.87
5/16/17,33.75
5/17/17,34.26
5/18/17,33.31
5/19/17,33.63
5/22/17,33.68
5/23/17,33.05
5/24/17,33.66
5/25/17,33.43
5/26/17,34.11
5/30/17,33.97
5/31/17,34.15
6/1/17,34.02
6/2/17,34.03
6/5/17,33.84
6/6/17,35.40
6/7/17,35.51
6/8/17,35.02
6/9/17,34.30
6/12/17,34.38
6/13/17,34.48
6/14/17,33.72
6/15/17,33.04
6/16/17,32.84
6/19/17,32.88
6/20/17,32.84
6/21/17,33.15
6/22/17,33.50
6/23/17,33.81
6/26/17,33.77
6/27/17,33.07
6/28/17,33.04
6/29/17,32.23
6/30/17,32.39
7/3/17,31.89
7/5/17,32.68
7/6/17,32.28
7/7/17,32.03
7/10/17,32.53
7/11/17,32.95
7/12/17,33.17
7/13/17,32.94
7/14/17,33.30
7/17/17,33.73
7/18/17,33.71
7/19/17,33.88
7/20/17,33.92
7/21/17,34.39
7/24/17,33.90
7/25/17,36.24
7/26/17,36.96
7/27/17,36.44
7/28/17,37.06
