,y
2017-03-06,33.01
2017-03-07,32.98
2017-03-08,32.89
2017-03-09,32.6
2017-03-10,32.94
2017-03-13,33.02
2017-03-14,32.4
2017-03-15,34.1
2017-03-16,32.81
2017-03-17,32.84
2017-03-20,33.56
2017-03-21,34.03
2017-03-22,33.84
2017-03-23,33.62
2017-03-24,33.48
2017-03-27,33.91
2017-03-28,33.0
2017-03-29,33.19
2017-03-30,32.93
2017-03-31,32.96
2017-04-03,33.89
2017-04-04,34.19
2017-04-05,34.31
2017-04-06,34.17
2017-04-07,34.31
2017-04-10,34.61
2017-04-11,35.13
2017-04-12,35.08
2017-04-13,34.5
2017-04-17,34.59
2017-04-18,34.32
2017-04-19,33.52
2017-04-20,33.67
2017-04-21,34.13
2017-04-24,33.71
2017-04-25,32.89
2017-04-26,32.98
2017-04-27,32.91
2017-04-28,33.81
2017-05-01,32.68
2017-05-02,33.01
2017-05-03,32.69
2017-05-04,32.28
2017-05-05,32.73
2017-05-08,32.68
2017-05-09,32.76
2017-05-10,32.95
2017-05-11,33.48
2017-05-12,33.75
2017-05-15,33.87
2017-05-16,33.75
2017-05-17,34.26
2017-05-18,33.31
2017-05-19,33.63
2017-05-22,33.68
2017-05-23,33.05
2017-05-24,33.66
2017-05-25,33.43
2017-05-26,34.11
2017-05-30,33.97
2017-05-31,34.15
2017-06-01,34.02
2017-06-02,34.03
2017-06-05,33.84
2017-06-06,35.4
2017-06-07,35.51
2017-06-08,35.02
2017-06-09,34.3
2017-06-12,34.38
2017-06-13,34.48
2017-06-14,33.72
2017-06-15,33.04
2017-06-16,32.84
2017-06-19,32.88
2017-06-20,32.84
2017-06-21,33.15
2017-06-22,33.5
2017-06-23,33.81
2017-06-26,33.77
2017-06-27,33.07
2017-06-28,33.04
2017-06-29,32.23
2017-06-30,32.39
2017-07-03,31.89
2017-07-05,32.68
2017-07-06,32.28
2017-07-07,32.03
2017-07-10,32.53
2017-07-11,32.95
2017-07-12,33.17
2017-07-13,32.94
2017-07-14,33.3
2017-07-17,33.73
2017-07-18,33.71
2017-07-19,33.88
2017-07-20,33.92
2017-07-21,34.39
2017-07-24,33.9
2017-07-25,36.24
2017-07-26,36.96
2017-07-27,36.44
2017-07-28,37.06
2017-07-31,37.17
2017-08-01,36.98
2017-08-02,36.87
2017-08-03,36.59
2017-08-04,36.15
2017-08-07,36.17
2017-08-08,35.74
2017-08-09,36.1
2017-08-10,36.44
2017-08-11,36.53
2017-08-14,36.02
2017-08-15,35.77
2017-08-16,36.13
2017-08-17,36.05
2017-08-18,35.83
2017-08-21,36.61
2017-08-22,36.5
2017-08-23,36.98
2017-08-24,36.82
2017-08-25,36.99
2017-08-28,38.3
2017-08-29,38.04
2017-08-30,38.06
2017-08-31,38.34
2017-09-01,38.66
2017-09-05,38.75
2017-09-06,38.38
2017-09-07,39.6
2017-09-08,39.31
2017-09-11,38.22
2017-09-12,38.35
2017-09-13,37.88
2017-09-14,38.06
2017-09-15,37.85
2017-09-18,37.78
2017-09-19,38.09
2017-09-20,37.63
2017-09-21,37.43
2017-09-22,37.89
2017-09-25,38.63
2017-09-26,37.97
2017-09-27,37.21
2017-09-28,37.62
2017-09-29,37.51
2017-10-02,37.88
2017-10-03,38.23
2017-10-04,38.08
2017-10-05,37.95
2017-10-06,38.06
2017-10-09,38.28
2017-10-10,37.9
2017-10-11,38.08
2017-10-12,38.39
2017-10-13,38.59
2017-10-16,37.99
2017-10-17,38.35
2017-10-18,37.86
2017-10-19,37.84
2017-10-20,37.79
2017-10-23,37.37
2017-10-24,37.13
2017-10-25,36.75
2017-10-26,35.81
2017-10-27,35.8
2017-10-30,36.23
2017-10-31,36.16
2017-11-01,35.69
2017-11-02,36.48
2017-11-03,36.04
2017-11-06,36.37
2017-11-07,36.04
2017-11-08,36.31
2017-11-09,35.88
2017-11-10,35.52
2017-11-13,35.71
2017-11-14,36.28
2017-11-15,36.08
2017-11-16,36.09
2017-11-17,36.21
2017-11-20,36.33
2017-11-21,36.37
2017-11-22,36.71
2017-11-24,36.68
2017-11-27,37.1
2017-11-28,37.14
2017-11-29,36.6
2017-11-30,36.99
2017-12-01,37.19
2017-12-04,36.84
2017-12-05,36.2
2017-12-06,35.83
2017-12-07,35.92
2017-12-08,35.4
2017-12-11,34.67
2017-12-12,34.59
2017-12-13,35.75
2017-12-14,35.9
2017-12-15,35.87
2017-12-18,36.65
2017-12-19,36.35
2017-12-20,36.61
2017-12-21,36.73
2017-12-22,36.92
2017-12-26,37.57
2017-12-27,37.6
2017-12-28,37.51
