Date,SWK
3/6/17,128.56
3/7/17,127.91
3/8/17,128.27
3/9/17,127.63
3/10/17,129.19
3/13/17,130.70
3/14/17,129.69
3/15/17,131.07
3/16/17,131.14
3/17/17,131.33
3/20/17,131.21
3/21/17,129.57
3/22/17,130.60
3/23/17,131.16
3/24/17,130.80
3/27/17,130.81
3/28/17,132.10
3/29/17,132.01
3/30/17,132.64
3/31/17,132.87
4/3/17,132.40
4/4/17,131.94
4/5/17,131.10
4/6/17,132.41
4/7/17,132.27
4/10/17,132.52
4/11/17,132.58
4/12/17,132.26
4/13/17,130.57
4/17/17,131.17
4/18/17,131.21
4/19/17,131.05
4/20/17,132.71
4/21/17,137.56
4/24/17,137.41
4/25/17,136.87
4/26/17,136.31
4/27/17,137.35
4/28/17,136.15
5/1/17,136.11
5/2/17,136.99
5/3/17,136.28
5/4/17,138.18
5/5/17,138.61
5/8/17,138.66
5/9/17,138.85
5/10/17,139.08
5/11/17,138.10
5/12/17,136.99
5/15/17,137.43
5/16/17,136.94
5/17/17,134.44
5/18/17,134.97
5/19/17,136.55
5/22/17,136.33
5/23/17,135.38
5/24/17,136.18
5/25/17,136.35
5/26/17,136.79
5/30/17,136.89
5/31/17,137.64
6/1/17,138.82
6/2/17,139.25
6/5/17,138.41
6/6/17,136.85
6/7/17,137.66
6/8/17,137.91
6/9/17,139.99
6/12/17,138.67
6/13/17,141.58
6/14/17,141.58
6/15/17,140.96
6/16/17,141.21
6/19/17,142.11
6/20/17,142.89
6/21/17,142.90
6/22/17,142.14
6/23/17,143.05
6/26/17,142.48
6/27/17,140.49
6/28/17,141.43
6/29/17,139.63
6/30/17,140.73
7/3/17,141.78
7/5/17,143.02
7/6/17,142.29
7/7/17,144.91
7/10/17,145.88
7/11/17,145.23
7/12/17,146.18
7/13/17,146.37
7/14/17,146.24
7/17/17,146.65
7/18/17,146.25
7/19/17,147.80
7/20/17,146.66
7/21/17,146.79
7/24/17,143.70
7/25/17,142.25
7/26/17,140.28
7/27/17,141.14
7/28/17,139.88
7/31/17,140.69
8/1/17,139.47
8/2/17,141.62
8/3/17,142.27
8/4/17,142.35
8/7/17,142.13
8/8/17,140.96
8/9/17,140.34
8/10/17,138.30
8/11/17,139.15
8/14/17,140.75
8/15/17,139.42
8/16/17,140.66
8/17/17,138.12
8/18/17,137.50
8/21/17,137.07
8/22/17,138.71
8/23/17,137.14
8/24/17,137.16
8/25/17,138.83
8/28/17,138.67
8/29/17,139.01
8/30/17,139.78
8/31/17,144.00
9/1/17,142.64
9/5/17,141.70
9/6/17,142.53
9/7/17,144.68
9/8/17,147.05
9/11/17,147.46
9/12/17,147.50
9/13/17,147.03
9/14/17,147.72
9/15/17,148.04
9/18/17,149.81
9/19/17,151.25
9/20/17,152.30
9/21/17,151.97
9/22/17,151.22
9/25/17,150.40
9/26/17,149.02
9/27/17,148.65
9/28/17,149.52
9/29/17,150.97
10/2/17,154.53
10/3/17,155.43
10/4/17,156.71
10/5/17,156.13
10/6/17,155.49
10/9/17,156.67
10/10/17,155.82
10/11/17,156.49
10/12/17,158.28
10/13/17,158.71
10/16/17,158.65
10/17/17,156.64
10/18/17,156.85
10/19/17,157.16
10/20/17,160.12
10/23/17,158.19
10/24/17,165.74
10/25/17,163.53
10/26/17,164.70
10/27/17,164.71
10/30/17,161.63
10/31/17,161.55
11/1/17,161.04
11/2/17,161.81
11/3/17,163.13
11/6/17,163.56
11/7/17,165.20
11/8/17,165.72
11/9/17,162.85
11/10/17,162.97
11/13/17,163.97
11/14/17,164.11
