Date,EPAM
3/6/17,73.32
3/7/17,72.58
3/8/17,73.32
3/9/17,73.58
3/10/17,73.79
3/13/17,73.62
3/14/17,73.35
3/15/17,72.93
3/16/17,73.07
3/17/17,72.50
3/20/17,72.61
3/21/17,72.04
3/22/17,72.57
3/23/17,72.86
3/24/17,73.27
3/27/17,73.78
3/28/17,74.60
3/29/17,75.37
3/30/17,75.92
3/31/17,75.52
4/3/17,74.34
4/4/17,74.30
4/5/17,74.44
4/6/17,74.88
4/7/17,75.38
4/10/17,75.12
4/11/17,75.48
4/12/17,74.55
4/13/17,74.71
4/17/17,75.52
4/18/17,75.09
4/19/17,75.57
4/20/17,76.60
4/21/17,77.02
4/24/17,77.21
4/25/17,76.83
4/26/17,77.55
4/27/17,77.14
4/28/17,77.00
5/1/17,77.30
5/2/17,77.25
5/3/17,77.75
5/4/17,80.27
5/5/17,80.46
5/8/17,80.89
5/9/17,80.61
5/10/17,81.07
5/11/17,80.81
5/12/17,80.61
5/15/17,81.44
5/16/17,81.06
5/17/17,80.25
5/18/17,81.02
5/19/17,82.17
5/22/17,82.91
5/23/17,82.66
5/24/17,83.75
5/25/17,84.90
5/26/17,84.15
5/30/17,83.56
5/31/17,83.88
6/1/17,86.46
6/2/17,85.51
6/5/17,84.74
6/6/17,83.44
6/7/17,83.54
6/8/17,83.72
6/9/17,81.96
6/12/17,81.48
6/13/17,82.74
6/14/17,82.32
6/15/17,81.99
6/16/17,82.60
6/19/17,83.56
6/20/17,82.30
6/21/17,83.50
6/22/17,82.81
6/23/17,84.63
6/26/17,84.42
6/27/17,82.93
6/28/17,83.92
6/29/17,83.57
6/30/17,84.09
7/3/17,82.94
7/5/17,83.51
7/6/17,82.61
7/7/17,84.06
7/10/17,82.84
7/11/17,83.33
7/12/17,84.21
7/13/17,83.58
7/14/17,84.25
7/17/17,83.80
7/18/17,85.60
7/19/17,85.57
7/20/17,86.58
7/21/17,87.26
7/24/17,87.36
7/25/17,86.58
7/26/17,86.98
7/27/17,85.79
7/28/17,85.46
7/31/17,85.93
8/1/17,86.04
8/2/17,84.52
8/3/17,81.90
8/4/17,83.41
8/7/17,82.23
8/8/17,81.83
8/9/17,81.81
8/10/17,81.15
8/11/17,79.73
8/14/17,82.01
8/15/17,82.39
8/16/17,82.23
8/17/17,79.95
8/18/17,80.75
8/21/17,80.82
8/22/17,80.66
8/23/17,80.08
8/24/17,79.66
8/25/17,78.83
8/28/17,79.01
8/29/17,78.89
8/30/17,79.58
8/31/17,81.33
