,y
2017-03-06,73.32
2017-03-07,72.58
2017-03-08,73.32
2017-03-09,73.58
2017-03-10,73.79
2017-03-13,73.62
2017-03-14,73.35
2017-03-15,72.93
2017-03-16,73.07
2017-03-17,72.5
2017-03-20,72.61
2017-03-21,72.04
2017-03-22,72.57
2017-03-23,72.86
2017-03-24,73.27
2017-03-27,73.78
2017-03-28,74.6
2017-03-29,75.37
2017-03-30,75.92
2017-03-31,75.52
2017-04-03,74.34
2017-04-04,74.3
2017-04-05,74.44
2017-04-06,74.88
2017-04-07,75.38
2017-04-10,75.12
2017-04-11,75.48
2017-04-12,74.55
2017-04-13,74.71
2017-04-17,75.52
2017-04-18,75.09
2017-04-19,75.57
2017-04-20,76.6
2017-04-21,77.02
2017-04-24,77.21
2017-04-25,76.83
2017-04-26,77.55
2017-04-27,77.14
2017-04-28,77.0
2017-05-01,77.3
2017-05-02,77.25
2017-05-03,77.75
2017-05-04,80.27
2017-05-05,80.46
2017-05-08,80.89
2017-05-09,80.61
2017-05-10,81.07
2017-05-11,80.81
2017-05-12,80.61
2017-05-15,81.44
2017-05-16,81.06
2017-05-17,80.25
2017-05-18,81.02
2017-05-19,82.17
2017-05-22,82.91
2017-05-23,82.66
2017-05-24,83.75
2017-05-25,84.9
2017-05-26,84.15
2017-05-30,83.56
2017-05-31,83.88
2017-06-01,86.46
2017-06-02,85.51
2017-06-05,84.74
2017-06-06,83.44
2017-06-07,83.54
2017-06-08,83.72
2017-06-09,81.96
2017-06-12,81.48
2017-06-13,82.74
2017-06-14,82.32
2017-06-15,81.99
2017-06-16,82.6
2017-06-19,83.56
2017-06-20,82.3
2017-06-21,83.5
2017-06-22,82.81
2017-06-23,84.63
2017-06-26,84.42
2017-06-27,82.93
2017-06-28,83.92
2017-06-29,83.57
2017-06-30,84.09
2017-07-03,82.94
2017-07-05,83.51
2017-07-06,82.61
2017-07-07,84.06
2017-07-10,82.84
2017-07-11,83.33
2017-07-12,84.21
2017-07-13,83.58
2017-07-14,84.25
2017-07-17,83.8
2017-07-18,85.6
2017-07-19,85.57
2017-07-20,86.58
2017-07-21,87.26
2017-07-24,87.36
2017-07-25,86.58
2017-07-26,86.98
2017-07-27,85.79
2017-07-28,85.46
2017-07-31,85.93
2017-08-01,86.04
2017-08-02,84.52
2017-08-03,81.9
2017-08-04,83.41
2017-08-07,82.23
2017-08-08,81.83
2017-08-09,81.81
2017-08-10,81.15
2017-08-11,79.73
2017-08-14,82.01
2017-08-15,82.39
2017-08-16,82.23
2017-08-17,79.95
2017-08-18,80.75
2017-08-21,80.82
2017-08-22,80.66
2017-08-23,80.08
2017-08-24,79.66
2017-08-25,78.83
2017-08-28,79.01
2017-08-29,78.89
2017-08-30,79.58
2017-08-31,81.33
2017-09-01,82.11
2017-09-05,83.36
2017-09-06,83.8
2017-09-07,84.84
2017-09-08,84.54
2017-09-11,84.68
2017-09-12,87.61
2017-09-13,85.29
