Date,FRT
3/6/17,134.30
3/7/17,133.39
3/8/17,130.50
3/9/17,127.44
3/10/17,126.98
3/13/17,128.32
3/14/17,129.62
3/15/17,133.02
3/16/17,133.00
3/17/17,134.75
3/20/17,134.44
3/21/17,134.67
3/22/17,133.11
3/23/17,134.73
3/24/17,134.80
3/27/17,132.74
3/28/17,133.26
3/29/17,133.15
3/30/17,133.34
3/31/17,133.50
4/3/17,133.84
4/4/17,133.11
4/5/17,133.11
4/6/17,133.11
4/7/17,132.73
4/10/17,133.95
4/11/17,135.08
4/12/17,134.87
4/13/17,134.74
4/17/17,136.45
4/18/17,137.05
4/19/17,137.48
4/20/17,137.22
4/21/17,136.18
4/24/17,133.75
4/25/17,134.61
4/26/17,132.56
4/27/17,133.16
4/28/17,130.89
5/1/17,133.16
5/2/17,133.81
5/3/17,132.30
5/4/17,131.40
5/5/17,132.78
5/8/17,130.44
5/9/17,130.55
5/10/17,132.00
5/11/17,129.72
5/12/17,125.43
5/15/17,126.57
5/16/17,122.46
5/17/17,122.97
5/18/17,124.29
5/19/17,125.59
5/22/17,126.48
5/23/17,125.71
5/24/17,127.40
5/25/17,127.38
5/26/17,126.32
5/30/17,123.82
5/31/17,122.74
6/1/17,124.29
6/2/17,123.37
6/5/17,121.73
6/6/17,122.18
6/7/17,124.99
6/8/17,122.88
6/9/17,124.68
6/12/17,126.94
6/13/17,127.88
6/14/17,126.99
6/15/17,128.32
6/16/17,125.37
6/19/17,125.19
6/20/17,123.84
6/21/17,123.33
6/22/17,124.19
6/23/17,125.05
6/26/17,127.72
6/27/17,127.44
6/28/17,128.13
6/29/17,127.71
6/30/17,126.39
7/3/17,129.04
7/5/17,126.26
7/6/17,125.38
7/7/17,126.28
7/10/17,124.76
7/11/17,124.84
7/12/17,125.41
7/13/17,126.67
7/14/17,128.27
7/17/17,129.01
7/18/17,128.71
7/19/17,129.93
7/20/17,130.00
7/21/17,130.48
7/24/17,131.26
7/25/17,132.13
7/26/17,132.70
7/27/17,135.03
7/28/17,132.81
7/31/17,132.63
8/1/17,134.40
8/2/17,132.84
8/3/17,132.98
8/4/17,133.64
8/7/17,133.41
8/8/17,132.59
8/9/17,132.75
8/10/17,132.04
8/11/17,129.40
8/14/17,131.06
8/15/17,129.27
8/16/17,129.65
8/17/17,128.55
8/18/17,126.96
8/21/17,128.10
8/22/17,126.86
8/23/17,127.58
8/24/17,126.86
8/25/17,128.32
8/28/17,125.41
8/29/17,125.71
8/30/17,126.54
8/31/17,126.93
9/1/17,128.20
9/5/17,127.64
9/6/17,129.32
9/7/17,130.45
9/8/17,129.38
9/11/17,130.25
9/12/17,128.69
9/13/17,128.27
9/14/17,130.97
9/15/17,130.00
9/18/17,127.51
9/19/17,125.38
9/20/17,124.63
9/21/17,123.85
9/22/17,123.14
9/25/17,124.80
9/26/17,125.08
9/27/17,123.98
9/28/17,124.45
9/29/17,124.21
10/2/17,124.03
10/3/17,124.61
10/4/17,125.13
10/5/17,126.09
10/6/17,125.68
10/9/17,126.11
10/10/17,126.75
10/11/17,127.82
10/12/17,128.51
10/13/17,129.68
10/16/17,128.81
10/17/17,129.63
10/18/17,128.53
10/19/17,127.23
10/20/17,125.80
10/23/17,126.61
10/24/17,124.90
10/25/17,123.27
10/26/17,121.73
10/27/17,121.45
10/30/17,120.98
10/31/17,120.52
11/1/17,121.70
11/2/17,128.10
11/3/17,126.56
11/6/17,126.92
11/7/17,128.61
11/8/17,128.87
11/9/17,131.44
11/10/17,132.01
11/13/17,130.89
11/14/17,131.81
11/15/17,131.59
11/16/17,131.90
11/17/17,132.50
11/20/17,131.24
11/21/17,131.60
11/22/17,131.75
11/24/17,131.92
11/27/17,130.69
11/28/17,131.12
11/29/17,132.10
11/30/17,132.21
12/1/17,132.54
12/4/17,133.57
12/5/17,131.54
12/6/17,130.09
12/7/17,129.84
12/8/17,130.29
12/11/17,129.79
12/12/17,130.50
12/13/17,131.37
12/14/17,130.73
12/15/17,132.00
12/18/17,133.88
12/19/17,132.03
12/20/17,130.52
12/21/17,129.32
12/22/17,130.39
12/26/17,132.02
12/27/17,133.29
12/28/17,133.61
12/29/17,132.81
1/2/18,133.75
1/3/18,133.25
1/4/18,128.54
1/5/18,128.36
1/8/18,129.91
1/9/18,125.44
1/10/18,123.84
1/11/18,123.21
1/12/18,122.81
1/16/18,122.05
1/17/18,122.80
1/18/18,122.05
1/19/18,122.61
1/22/18,124.37
1/23/18,124.74
1/24/18,123.22
1/25/18,123.16
1/26/18,122.38
1/29/18,121.13
1/30/18,119.51
1/31/18,120.80
2/1/18,117.75
2/2/18,115.54
2/5/18,112.52
2/6/18,112.22
2/7/18,111.34
2/8/18,108.11
2/9/18,109.91
2/12/18,110.24
2/13/18,110.26
2/14/18,110.82
2/15/18,112.10
2/16/18,114.45
2/20/18,114.56
2/21/18,111.11
2/22/18,114.08
2/23/18,115.93
2/26/18,116.96
2/27/18,113.48
2/28/18,113.94
3/1/18,115.95
3/2/18,116.36
3/5/18,116.51
3/6/18,116.96
3/7/18,117.28
