Date,MELI
3/6/17,210.77
3/7/17,211.30
3/8/17,209.13
3/9/17,209.38
3/10/17,211.29
3/13/17,212.74
3/14/17,212.30
3/15/17,215.13
3/16/17,211.56
3/17/17,211.29
3/20/17,216.11
3/21/17,205.70
3/22/17,209.63
3/23/17,208.18
3/24/17,210.86
3/27/17,211.57
3/28/17,211.51
3/29/17,216.29
3/30/17,212.56
3/31/17,211.47
4/3/17,219.95
4/4/17,215.92
4/5/17,215.28
4/6/17,217.72
4/7/17,219.10
4/10/17,219.06
4/11/17,219.78
4/12/17,216.31
4/13/17,215.46
4/17/17,220.48
4/18/17,217.83
4/19/17,218.83
4/20/17,223.41
4/21/17,223.82
4/24/17,225.90
4/25/17,230.63
4/26/17,228.28
4/27/17,230.21
4/28/17,228.91
5/1/17,235.09
5/2/17,234.76
5/3/17,234.97
5/4/17,236.51
5/5/17,275.16
5/8/17,274.96
5/9/17,281.77
5/10/17,282.26
5/11/17,280.87
5/12/17,287.28
5/15/17,296.24
5/16/17,297.22
5/17/17,278.55
5/18/17,270.81
5/19/17,272.57
5/22/17,275.37
5/23/17,281.80
5/24/17,286.28
5/25/17,292.42
5/26/17,286.95
5/30/17,279.98
5/31/17,275.11
6/1/17,280.40
6/2/17,280.37
6/5/17,278.89
6/6/17,280.04
6/7/17,285.25
6/8/17,288.12
6/9/17,275.07
6/12/17,270.73
6/13/17,273.00
6/14/17,265.00
6/15/17,263.30
6/16/17,263.45
6/19/17,274.32
6/20/17,271.27
6/21/17,276.99
6/22/17,275.75
6/23/17,275.23
6/26/17,268.00
6/27/17,255.93
6/28/17,262.31
6/29/17,252.43
6/30/17,250.88
7/3/17,250.68
7/5/17,248.98
7/6/17,251.10
7/7/17,255.60
7/10/17,259.82
7/11/17,262.41
7/12/17,274.35
7/13/17,271.54
7/14/17,273.58
7/17/17,276.12
7/18/17,280.24
7/19/17,280.56
7/20/17,282.08
7/21/17,280.26
7/24/17,282.38
7/25/17,279.26
7/26/17,286.02
7/27/17,286.64
7/28/17,288.87
7/31/17,288.42
8/1/17,288.88
8/2/17,286.60
8/3/17,292.38
8/4/17,260.47
8/7/17,256.17
8/8/17,251.92
8/9/17,251.52
8/10/17,232.64
8/11/17,240.16
8/14/17,236.94
8/15/17,236.07
8/16/17,241.90
8/17/17,234.19
8/18/17,236.14
8/21/17,241.95
8/22/17,243.29
8/23/17,243.54
8/24/17,243.62
8/25/17,246.41
8/28/17,242.54
8/29/17,240.90
8/30/17,246.75
8/31/17,258.47
9/1/17,251.91
9/5/17,256.63
9/6/17,257.88
9/7/17,258.68
9/8/17,259.98
9/11/17,285.26
9/12/17,290.79
9/13/17,292.21
9/14/17,287.92
9/15/17,282.71
9/18/17,289.71
9/19/17,289.97
9/20/17,290.20
9/21/17,281.87
9/22/17,279.46
9/25/17,270.22
9/26/17,269.27
9/27/17,267.40
9/28/17,261.99
9/29/17,258.93
10/2/17,263.65
10/3/17,264.36
10/4/17,263.81
10/5/17,270.23
10/6/17,268.82
10/9/17,269.92
10/10/17,273.64
10/11/17,274.49
10/12/17,246.26
10/13/17,244.90
10/16/17,233.00
10/17/17,234.79
10/18/17,242.41
10/19/17,236.00
10/20/17,235.73
10/23/17,226.35
10/24/17,225.42
10/25/17,221.51
10/26/17,229.00
10/27/17,236.05
10/30/17,234.50
10/31/17,240.31
11/1/17,239.02
11/2/17,236.00
11/3/17,267.35
11/6/17,268.53
11/7/17,265.63
11/8/17,260.10
11/9/17,266.41
11/10/17,270.87
11/13/17,267.08
11/14/17,262.49
11/15/17,263.54
11/16/17,262.48
11/17/17,269.73
11/20/17,265.84
11/21/17,268.76
11/22/17,265.89
11/24/17,271.38
11/27/17,272.62
11/28/17,269.84
11/29/17,267.70
11/30/17,275.14
12/1/17,272.91
12/4/17,271.73
12/5/17,270.80
12/6/17,272.21
12/7/17,272.68
12/8/17,276.45
12/11/17,288.80
12/12/17,295.12
12/13/17,318.94
12/14/17,321.01
12/15/17,318.91
12/18/17,326.12
12/19/17,329.28
12/20/17,314.90
12/21/17,318.54
12/22/17,314.83
12/26/17,318.49
12/27/17,319.00
12/28/17,315.57
12/29/17,314.66
1/2/18,322.58
1/3/18,329.28
1/4/18,325.88
1/5/18,330.87
1/8/18,340.79
1/9/18,337.65
1/10/18,339.55
1/11/18,342.02
1/12/18,342.47
1/16/18,339.85
1/17/18,340.45
1/18/18,341.88
1/19/18,345.31
1/22/18,352.27
1/23/18,355.43
1/24/18,355.60
1/25/18,360.06
1/26/18,381.86
1/29/18,390.27
1/30/18,386.37
1/31/18,387.10
2/1/18,378.76
2/2/18,368.39
2/5/18,351.99
2/6/18,350.46
2/7/18,343.55
2/8/18,345.31
2/9/18,335.86
2/12/18,353.45
2/13/18,366.51
2/14/18,375.71
2/15/18,379.05
2/16/18,369.87
2/20/18,375.78
2/21/18,373.34
2/22/18,369.50
2/23/18,387.26
2/26/18,392.56
2/27/18,375.44
2/28/18,387.97
3/1/18,385.38
3/2/18,388.96
3/5/18,390.89
3/6/18,410.25
3/7/18,407.88
3/8/18,397.32
3/9/18,413.94
3/12/18,410.05
3/13/18,406.41
3/14/18,404.97
3/15/18,387.11
3/16/18,378.44
3/19/18,366.51
3/20/18,364.73
3/21/18,361.85
3/22/18,350.60
3/23/18,344.73
3/26/18,353.40
3/27/18,352.21
3/28/18,341.22
3/29/18,356.39
4/2/18,347.20
4/3/18,342.87
4/4/18,355.48
4/5/18,351.96
4/6/18,342.54
4/9/18,342.67
4/10/18,347.83
4/11/18,328.70
4/12/18,327.40
4/13/18,329.67
4/16/18,322.78
4/17/18,337.54
4/18/18,345.10
4/19/18,330.00
4/20/18,324.49
4/23/18,330.46
4/24/18,328.77
4/25/18,336.13
4/26/18,344.45
4/27/18,341.17
4/30/18,339.61
5/1/18,339.46
5/2/18,333.25
5/3/18,330.59
5/4/18,329.97
5/7/18,339.31
5/8/18,333.44
5/9/18,325.31
5/10/18,316.63
5/11/18,309.01
5/14/18,298.58
5/15/18,290.75
5/16/18,305.13
5/17/18,298.85
5/18/18,295.37
5/21/18,290.60
5/22/18,294.76
5/23/18,304.79
5/24/18,314.93
5/25/18,314.70
5/29/18,297.71
5/30/18,302.27
5/31/18,290.83
6/1/18,296.66
6/4/18,307.65
6/5/18,307.02
6/6/18,315.00
6/7/18,288.85
6/8/18,288.80
6/11/18,297.73
6/12/18,301.14
6/13/18,291.00
6/14/18,305.00
6/15/18,303.82
6/18/18,294.58
6/19/18,295.26
6/20/18,296.48
6/21/18,287.37
6/22/18,290.86
6/25/18,288.27
6/26/18,298.35
6/27/18,285.35
6/28/18,296.80
6/29/18,298.93
7/2/18,295.70
7/3/18,297.43
7/5/18,304.46
7/6/18,312.91
7/9/18,309.77
7/10/18,308.15
7/11/18,303.24
7/12/18,318.05
7/13/18,327.68
7/16/18,343.25
7/17/18,359.80
7/18/18,369.35
7/19/18,374.61
7/20/18,373.46
7/23/18,363.29
7/24/18,353.00
7/25/18,364.99
7/26/18,363.73
7/27/18,354.57
7/30/18,343.25
7/31/18,342.91
8/1/18,346.14
8/2/18,339.27
8/3/18,343.88
8/6/18,348.52
8/7/18,347.42
8/8/18,344.43
8/9/18,384.39
8/10/18,372.35
8/13/18,358.86
8/14/18,363.51
8/15/18,344.79
8/16/18,334.80
8/17/18,324.20
8/20/18,319.75
8/21/18,328.45
8/22/18,344.93
8/23/18,348.33
8/24/18,367.54
8/27/18,374.85
8/28/18,378.18
8/29/18,377.44
8/30/18,340.15
8/31/18,342.41
9/4/18,342.27
9/5/18,328.00
9/6/18,320.76
9/7/18,326.50
9/10/18,319.43
9/11/18,318.73
9/12/18,316.90
9/13/18,320.67
9/14/18,325.04
9/17/18,322.26
9/18/18,315.08
9/19/18,315.81
9/20/18,323.08
9/21/18,319.68
9/24/18,331.38
9/25/18,319.62
9/26/18,330.75
9/27/18,340.08
9/28/18,340.47
10/1/18,332.49
10/2/18,353.90
10/3/18,354.10
10/4/18,339.46
10/5/18,335.64
10/8/18,339.50
10/9/18,340.06
10/10/18,319.07
10/11/18,304.86
10/12/18,303.42
10/15/18,294.75
10/16/18,308.60
10/17/18,313.37
10/18/18,298.76
10/19/18,301.87
10/22/18,313.56
10/23/18,306.86
10/24/18,291.40
10/25/18,297.59
10/26/18,295.37
10/29/18,287.34
10/30/18,310.41
10/31/18,324.50
11/1/18,341.65
11/2/18,354.39
11/5/18,357.62
11/6/18,336.19
11/7/18,349.56
11/8/18,331.47
11/9/18,325.69
11/12/18,322.00
11/13/18,327.94
11/14/18,336.86
11/15/18,340.77
11/16/18,344.61
11/19/18,335.39
11/20/18,313.79
11/21/18,319.00
11/23/18,309.82
11/26/18,322.18
11/27/18,331.72
11/28/18,345.78
11/29/18,357.99
11/30/18,351.97
12/3/18,369.51
12/4/18,354.85
12/6/18,350.56
12/7/18,346.56
12/10/18,353.52
12/11/18,355.24
12/12/18,361.36
12/13/18,333.51
12/14/18,326.52
12/17/18,310.49
12/18/18,310.83
12/19/18,312.39
12/20/18,306.40
12/21/18,286.56
12/24/18,257.52
12/26/18,281.81
12/27/18,289.10
12/28/18,292.09
