Date,TTD
3/6/17,4.23
3/7/17,4.41
3/8/17,4.33
3/9/17,4.44
3/10/17,4.58
3/13/17,4.34
3/14/17,4.12
3/15/17,4.16
3/16/17,4.02
3/17/17,3.95
3/20/17,3.81
3/21/17,3.76
3/22/17,3.86
3/23/17,3.70
3/24/17,3.60
3/27/17,3.72
3/28/17,3.65
3/29/17,3.80
3/30/17,3.67
3/31/17,3.72
4/3/17,3.70
4/4/17,3.63
4/5/17,3.70
4/6/17,3.77
4/7/17,3.70
4/10/17,3.69
4/11/17,3.76
4/12/17,3.72
4/13/17,3.68
4/17/17,3.64
4/18/17,3.52
4/19/17,3.59
4/20/17,3.62
4/21/17,3.60
4/24/17,3.65
4/25/17,3.62
4/26/17,3.63
4/27/17,3.77
4/28/17,3.73
5/1/17,3.76
5/2/17,3.83
5/3/17,3.81
5/4/17,3.98
5/5/17,4.01
5/8/17,4.04
5/9/17,4.09
5/10/17,4.01
5/11/17,3.99
5/12/17,5.19
5/15/17,5.36
5/16/17,5.22
5/17/17,4.78
5/18/17,5.14
5/19/17,5.01
5/22/17,5.25
5/23/17,5.35
5/24/17,5.15
5/25/17,5.20
5/26/17,5.22
5/30/17,5.35
5/31/17,5.50
6/1/17,5.50
6/2/17,5.70
6/5/17,5.57
6/6/17,5.58
6/7/17,5.44
6/8/17,5.54
6/9/17,5.14
6/12/17,5.01
6/13/17,5.01
6/14/17,4.92
6/15/17,4.86
6/16/17,4.99
6/19/17,5.21
6/20/17,5.09
6/21/17,5.24
6/22/17,5.18
6/23/17,5.42
6/26/17,5.31
6/27/17,5.05
6/28/17,5.25
6/29/17,5.08
6/30/17,5.01
7/3/17,4.97
7/5/17,4.99
7/6/17,4.86
7/7/17,4.99
7/10/17,5.01
7/11/17,5.12
7/12/17,5.15
7/13/17,5.08
7/14/17,5.10
7/17/17,5.04
7/18/17,4.99
7/19/17,5.47
7/20/17,5.45
7/21/17,5.23
7/24/17,5.41
7/25/17,5.57
7/26/17,5.50
7/27/17,5.31
7/28/17,5.34
7/31/17,5.33
8/1/17,5.34
8/2/17,5.30
8/3/17,5.45
8/4/17,5.34
8/7/17,5.55
8/8/17,5.45
8/9/17,5.40
8/10/17,5.01
8/11/17,5.45
8/14/17,5.36
8/15/17,5.10
8/16/17,5.06
8/17/17,4.84
8/18/17,4.95
8/21/17,5.00
8/22/17,5.03
8/23/17,5.00
8/24/17,5.10
8/25/17,5.10
8/28/17,5.14
8/29/17,5.18
8/30/17,5.30
8/31/17,5.30
9/1/17,5.37
9/5/17,5.35
9/6/17,5.49
9/7/17,5.71
9/8/17,5.62
9/11/17,6.06
9/12/17,6.17
9/13/17,6.01
9/14/17,5.97
9/15/17,5.99
9/18/17,6.01
9/19/17,6.17
9/20/17,5.98
9/21/17,5.95
9/22/17,5.98
9/25/17,5.64
9/26/17,5.60
9/27/17,5.78
9/28/17,5.83
9/29/17,6.15
10/2/17,5.96
10/3/17,6.05
10/4/17,6.01
10/5/17,6.10
10/6/17,6.43
10/9/17,6.42
10/10/17,6.41
10/11/17,6.49
10/12/17,6.53
10/13/17,6.65
10/16/17,6.45
10/17/17,6.39
10/18/17,6.41
10/19/17,6.32
10/20/17,6.36
10/23/17,6.35
10/24/17,6.33
10/25/17,6.26
10/26/17,6.27
10/27/17,6.40
10/30/17,6.42
10/31/17,6.59
11/1/17,6.51
11/2/17,6.41
11/3/17,6.46
11/6/17,6.54
11/7/17,6.47
11/8/17,6.16
11/9/17,5.93
11/10/17,5.10
11/13/17,4.84
11/14/17,4.70
11/15/17,4.82
11/16/17,4.89
11/17/17,5.00
11/20/17,5.04
11/21/17,5.19
11/22/17,5.11
11/24/17,5.12
11/27/17,4.99
11/28/17,5.01
11/29/17,4.84
11/30/17,4.91
12/1/17,4.80
12/4/17,4.53
12/5/17,4.51
12/6/17,4.42
12/7/17,4.53
12/8/17,4.53
12/11/17,4.83
12/12/17,4.69
12/13/17,4.90
12/14/17,4.90
12/15/17,4.93
12/18/17,4.98
12/19/17,4.89
12/20/17,4.96
12/21/17,4.62
12/22/17,4.62
12/26/17,4.65
12/27/17,4.70
12/28/17,4.64
12/29/17,4.57
1/2/18,4.64
1/3/18,4.79
1/4/18,4.76
1/5/18,4.84
1/8/18,4.79
1/9/18,4.74
1/10/18,4.79
1/11/18,4.90
1/12/18,4.91
1/16/18,4.83
1/17/18,4.95
1/18/18,4.84
1/19/18,4.74
1/22/18,4.86
1/23/18,4.94
1/24/18,4.88
1/25/18,4.95
1/26/18,5.12
1/29/18,5.05
1/30/18,4.87
1/31/18,4.85
2/1/18,4.58
2/2/18,4.68
2/5/18,4.51
2/6/18,4.55
2/7/18,4.42
2/8/18,4.33
2/9/18,4.28
2/12/18,4.39
2/13/18,4.52
2/14/18,4.72
2/15/18,4.83
2/16/18,4.84
2/20/18,5.02
2/21/18,4.98
2/22/18,4.84
2/23/18,5.99
2/26/18,5.74
2/27/18,5.56
2/28/18,5.63
3/1/18,5.43
3/2/18,5.69
3/5/18,5.82
3/6/18,5.80
3/7/18,5.87
3/8/18,5.79
3/9/18,5.89
3/12/18,5.95
3/13/18,5.80
3/14/18,5.86
3/15/18,5.84
3/16/18,5.79
3/19/18,5.56
3/20/18,5.70
3/21/18,5.65
3/22/18,5.45
3/23/18,5.33
3/26/18,5.52
3/27/18,5.22
3/28/18,5.10
3/29/18,4.96
4/2/18,4.80
4/3/18,4.75
4/4/18,4.79
4/5/18,4.90
4/6/18,4.77
4/9/18,4.79
4/10/18,4.97
4/11/18,5.09
4/12/18,5.21
4/13/18,5.23
4/16/18,5.26
4/17/18,5.42
4/18/18,5.41
4/19/18,5.40
4/20/18,5.41
4/23/18,5.37
4/24/18,5.25
4/25/18,5.10
4/26/18,5.21
4/27/18,5.17
4/30/18,5.12
5/1/18,4.95
5/2/18,4.93
5/3/18,4.94
5/4/18,4.94
5/7/18,5.09
5/8/18,5.09
5/9/18,5.15
5/10/18,5.27
5/11/18,7.56
5/14/18,7.49
5/15/18,8.02
5/16/18,8.07
5/17/18,8.04
5/18/18,8.56
5/21/18,8.30
5/22/18,8.22
5/23/18,8.30
5/24/18,8.30
5/25/18,8.26
5/29/18,8.27
5/30/18,8.45
5/31/18,8.55
6/1/18,8.66
6/4/18,8.32
6/5/18,8.79
6/6/18,8.63
6/7/18,8.65
6/8/18,8.86
6/11/18,8.88
6/12/18,9.08
6/13/18,9.01
6/14/18,9.05
6/15/18,9.01
6/18/18,9.29
6/19/18,9.15
6/20/18,9.34
6/21/18,9.15
6/22/18,9.21
6/25/18,8.93
6/26/18,9.16
6/27/18,8.96
6/28/18,9.22
6/29/18,9.38
7/2/18,9.42
7/3/18,9.10
7/5/18,9.28
7/6/18,9.40
7/9/18,9.45
7/10/18,9.27
7/11/18,9.16
7/12/18,9.48
7/13/18,9.41
7/16/18,9.33
7/17/18,9.49
7/18/18,9.52
7/19/18,9.47
7/20/18,9.73
7/23/18,9.49
7/24/18,9.02
7/25/18,9.31
7/26/18,9.28
7/27/18,8.95
7/30/18,8.60
7/31/18,8.43
8/1/18,8.68
8/2/18,8.85
8/3/18,8.69
8/6/18,8.91
8/7/18,9.01
8/8/18,9.14
8/9/18,9.33
8/10/18,12.79
8/13/18,12.57
8/14/18,13.30
8/15/18,12.67
8/16/18,12.72
8/17/18,12.56
8/20/18,12.54
8/21/18,12.90
8/22/18,12.97
8/23/18,13.67
8/24/18,13.84
8/27/18,13.97
8/28/18,14.01
8/29/18,14.17
8/30/18,14.08
8/31/18,14.19
9/4/18,14.67
9/5/18,14.19
9/6/18,13.93
9/7/18,14.20
9/10/18,14.24
9/11/18,14.77
9/12/18,14.58
9/13/18,14.56
9/14/18,14.61
9/17/18,14.27
9/18/18,14.47
9/19/18,14.48
9/20/18,14.32
9/21/18,14.19
9/24/18,13.93
9/25/18,15.47
9/26/18,15.57
9/27/18,15.49
9/28/18,15.09
10/1/18,14.35
10/2/18,13.34
10/3/18,13.89
10/4/18,13.62
10/5/18,13.34
10/8/18,13.19
10/9/18,12.89
10/10/18,11.86
10/11/18,11.77
10/12/18,12.31
10/15/18,12.39
10/16/18,12.99
10/17/18,12.83
10/18/18,12.47
10/19/18,12.13
10/22/18,12.44
10/23/18,12.27
10/24/18,11.38
10/25/18,11.62
10/26/18,11.03
10/29/18,10.91
10/30/18,11.53
10/31/18,12.35
11/1/18,12.66
11/2/18,12.80
11/5/18,12.30
11/6/18,12.21
11/7/18,13.19
11/8/18,12.22
11/9/18,12.26
11/12/18,11.09
11/13/18,11.21
11/14/18,11.65
11/15/18,12.33
11/16/18,12.52
11/19/18,11.37
11/20/18,11.33
11/21/18,11.85
11/23/18,11.94
11/26/18,12.94
11/27/18,12.94
11/28/18,13.57
11/29/18,14.08
11/30/18,14.24
12/3/18,14.86
12/4/18,14.01
12/6/18,14.19
12/7/18,13.36
12/10/18,13.48
12/11/18,13.78
12/12/18,14.34
12/13/18,13.90
12/14/18,13.65
12/17/18,12.45
12/18/18,12.38
12/19/18,12.15
12/20/18,11.71
12/21/18,10.65
12/24/18,10.44
12/26/18,11.08
12/27/18,11.40
12/28/18,11.44
12/31/18,11.61
1/2/19,11.62
1/3/19,10.96
1/4/19,11.79
1/7/19,12.46
1/8/19,12.81
1/9/19,12.88
1/10/19,12.97
1/11/19,12.73
1/14/19,12.85
1/15/19,13.04
1/16/19,13.05
1/17/19,13.32
1/18/19,13.90
1/22/19,13.40
1/23/19,13.38
1/24/19,13.50
1/25/19,13.78
1/28/19,13.57
1/29/19,13.46
1/30/19,14.01
1/31/19,14.27
2/1/19,14.53
2/4/19,15.17
2/5/19,15.52
2/6/19,14.75
2/7/19,14.20
2/8/19,14.62
2/11/19,14.89
2/12/19,15.30
2/13/19,15.13
2/14/19,15.34
2/15/19,15.81
2/19/19,16.17
2/20/19,15.01
2/21/19,15.05
2/22/19,19.77
2/25/19,19.76
2/26/19,19.55
2/27/19,19.50
2/28/19,19.75
3/1/19,19.51
3/4/19,18.94
3/5/19,19.12
