,Date,AAPL
0,2017-03-06,34.83
1,2017-03-07,34.88
2,2017-03-08,34.75
3,2017-03-09,34.67
4,2017-03-10,34.78
5,2017-03-13,34.8
6,2017-03-14,34.75
7,2017-03-15,35.12
8,2017-03-16,35.17
9,2017-03-17,35.0
10,2017-03-20,35.37
11,2017-03-21,34.96
12,2017-03-22,35.35
13,2017-03-23,35.23
14,2017-03-24,35.16
15,2017-03-27,35.22
16,2017-03-28,35.95
17,2017-03-29,36.03
18,2017-03-30,35.98
19,2017-03-31,35.92
20,2017-04-03,35.92
21,2017-04-04,36.19
22,2017-04-05,36.01
23,2017-04-06,35.92
24,2017-04-07,35.83
25,2017-04-10,35.79
26,2017-04-11,35.41
27,2017-04-12,35.45
28,2017-04-13,35.26
29,2017-04-17,35.46
30,2017-04-18,35.3
31,2017-04-19,35.17
32,2017-04-20,35.61
33,2017-04-21,35.57
34,2017-04-24,35.91
35,2017-04-25,36.13
36,2017-04-26,35.92
37,2017-04-27,35.95
38,2017-04-28,35.91
39,2017-05-01,36.65
40,2017-05-02,36.88
41,2017-05-03,36.76
42,2017-05-04,36.63
43,2017-05-05,37.24
44,2017-05-08,38.25
45,2017-05-09,38.5
46,2017-05-10,38.31
47,2017-05-11,38.49
48,2017-05-12,39.03
49,2017-05-15,38.92
50,2017-05-16,38.87
51,2017-05-17,37.56
52,2017-05-18,38.13
53,2017-05-19,38.26
54,2017-05-22,38.5
55,2017-05-23,38.45
56,2017-05-24,38.33
57,2017-05-25,38.47
58,2017-05-26,38.4
59,2017-05-30,38.42
60,2017-05-31,38.19
61,2017-06-01,38.29
62,2017-06-02,38.86
63,2017-06-05,38.48
64,2017-06-06,38.61
65,2017-06-07,38.84
66,2017-06-08,38.75
67,2017-06-09,37.24
68,2017-06-12,36.35
69,2017-06-13,36.65
70,2017-06-14,36.29
71,2017-06-15,36.07
72,2017-06-16,35.57
73,2017-06-19,36.58
74,2017-06-20,36.25
75,2017-06-21,36.47
76,2017-06-22,36.41
77,2017-06-23,36.57
78,2017-06-26,36.46
79,2017-06-27,35.93
80,2017-06-28,36.46
81,2017-06-29,35.92
82,2017-06-30,36.01
83,2017-07-03,35.88
84,2017-07-05,36.02
85,2017-07-06,35.68
86,2017-07-07,36.04
87,2017-07-10,36.26
88,2017-07-11,36.38
89,2017-07-12,36.44
90,2017-07-13,36.94
91,2017-07-14,37.26
92,2017-07-17,37.39
93,2017-07-18,37.52
94,2017-07-19,37.76
95,2017-07-20,37.58
96,2017-07-21,37.57
97,2017-07-24,38.02
98,2017-07-25,38.19
99,2017-07-26,38.37
100,2017-07-27,37.64
101,2017-07-28,37.38
102,2017-07-31,37.18
103,2017-08-01,37.51
104,2017-08-02,39.28
105,2017-08-03,38.89
106,2017-08-04,39.1
107,2017-08-07,39.7
108,2017-08-08,40.02
109,2017-08-09,40.26
110,2017-08-10,38.83
111,2017-08-11,39.37
112,2017-08-14,39.96
113,2017-08-15,40.4
114,2017-08-16,40.24
115,2017-08-17,39.47
116,2017-08-18,39.38
117,2017-08-21,39.3
118,2017-08-22,39.94
119,2017-08-23,39.99
120,2017-08-24,39.82
121,2017-08-25,39.97
122,2017-08-28,40.37
123,2017-08-29,40.73
124,2017-08-30,40.84
125,2017-08-31,41.0
126,2017-09-01,41.01
127,2017-09-05,40.52
128,2017-09-06,40.48
129,2017-09-07,40.31
130,2017-09-08,39.66
131,2017-09-11,40.38
132,2017-09-12,40.22
133,2017-09-13,39.91
134,2017-09-14,39.57
135,2017-09-15,39.97
136,2017-09-18,39.67
137,2017-09-19,39.68
138,2017-09-20,39.02
139,2017-09-21,38.35
140,2017-09-22,37.97
141,2017-09-25,37.64
142,2017-09-26,38.28
143,2017-09-27,38.56
144,2017-09-28,38.32
145,2017-09-29,38.53
146,2017-10-02,38.45
147,2017-10-03,38.62
148,2017-10-04,38.37
149,2017-10-05,38.85
150,2017-10-06,38.83
151,2017-10-09,38.96
152,2017-10-10,38.97
153,2017-10-11,39.14
154,2017-10-12,39.0
155,2017-10-13,39.25
156,2017-10-16,39.97
157,2017-10-17,40.12
158,2017-10-18,39.94
159,2017-10-19,38.99
160,2017-10-20,39.06
161,2017-10-23,39.04
162,2017-10-24,39.28
163,2017-10-25,39.1
164,2017-10-26,39.35
165,2017-10-27,40.76
166,2017-10-30,41.68
167,2017-10-31,42.26
168,2017-11-01,41.72
169,2017-11-02,42.03
170,2017-11-03,43.12
171,2017-11-06,43.56
172,2017-11-07,43.7
173,2017-11-08,44.06
174,2017-11-09,43.97
175,2017-11-10,43.67
176,2017-11-13,43.49
177,2017-11-14,42.83
178,2017-11-15,42.27
179,2017-11-16,42.78
180,2017-11-17,42.54
181,2017-11-20,42.49
182,2017-11-21,43.28
183,2017-11-22,43.74
184,2017-11-24,43.74
185,2017-11-27,43.52
186,2017-11-28,43.27
187,2017-11-29,42.37
188,2017-11-30,42.96
189,2017-12-01,42.76
190,2017-12-04,42.45
191,2017-12-05,42.41
192,2017-12-06,42.25
193,2017-12-07,42.33
194,2017-12-08,42.34
195,2017-12-11,43.17
196,2017-12-12,42.92
197,2017-12-13,43.07
198,2017-12-14,43.06
199,2017-12-15,43.49
200,2017-12-18,44.1
201,2017-12-19,43.63
202,2017-12-20,43.59
203,2017-12-21,43.75
204,2017-12-22,43.75
205,2017-12-26,42.64
206,2017-12-27,42.65
207,2017-12-28,42.77
208,2017-12-29,42.31
209,2018-01-02,43.06
210,2018-01-03,43.06
211,2018-01-04,43.26
212,2018-01-05,43.75
213,2018-01-08,43.59
214,2018-01-09,43.58
215,2018-01-10,43.57
216,2018-01-11,43.82
217,2018-01-12,44.27
218,2018-01-16,44.05
219,2018-01-17,44.78
220,2018-01-18,44.81
221,2018-01-19,44.62
222,2018-01-22,44.25
223,2018-01-23,44.26
224,2018-01-24,43.56
225,2018-01-25,42.78
226,2018-01-26,42.88
227,2018-01-29,41.99
228,2018-01-30,41.74
229,2018-01-31,41.86
230,2018-02-01,41.94
231,2018-02-02,40.12
232,2018-02-05,39.12
233,2018-02-06,40.76
234,2018-02-07,39.88
235,2018-02-08,38.79
236,2018-02-09,39.1
237,2018-02-12,40.68
238,2018-02-13,41.08
239,2018-02-14,41.84
240,2018-02-15,43.25
241,2018-02-16,43.11
242,2018-02-20,42.96
243,2018-02-21,42.77
244,2018-02-22,43.12
245,2018-02-23,43.88
246,2018-02-26,44.74
247,2018-02-27,44.6
248,2018-02-28,44.53
249,2018-03-01,43.75
250,2018-03-02,44.05
251,2018-03-05,44.21
252,2018-03-06,44.17
