Date,ADBE
3/6/17,120.15
3/7/17,119.98
3/8/17,119.60
3/9/17,119.91
3/10/17,121.09
3/13/17,121.80
3/14/17,121.44
3/15/17,122.11
3/16/17,122.35
3/17/17,127.01
3/20/17,126.31
3/21/17,125.07
3/22/17,126.21
3/23/17,126.87
3/24/17,127.70
3/27/17,128.25
3/28/17,128.69
3/29/17,129.58
3/30/17,129.61
3/31/17,130.13
4/3/17,129.59
4/4/17,130.04
4/5/17,129.89
4/6/17,130.15
4/7/17,130.22
4/10/17,130.16
4/11/17,129.95
4/12/17,129.38
4/13/17,129.05
4/17/17,129.99
4/18/17,129.81
4/19/17,130.22
4/20/17,131.42
4/21/17,131.52
4/24/17,132.89
4/25/17,133.49
4/26/17,132.79
4/27/17,133.38
4/28/17,133.74
5/1/17,135.11
5/2/17,135.00
5/3/17,134.85
5/4/17,134.61
5/5/17,134.84
5/8/17,135.12
5/9/17,135.60
5/10/17,136.15
5/11/17,136.29
5/12/17,136.84
5/15/17,137.60
5/16/17,138.03
5/17/17,134.33
5/18/17,134.54
5/19/17,136.43
5/22/17,138.86
5/23/17,139.52
5/24/17,141.12
5/25/17,142.85
5/26/17,141.89
5/30/17,142.41
5/31/17,141.86
6/1/17,141.38
6/2/17,143.48
6/5/17,143.59
6/6/17,143.03
6/7/17,143.62
6/8/17,142.63
6/9/17,138.05
6/12/17,137.25
6/13/17,139.09
6/14/17,138.25
6/15/17,137.52
6/16/17,137.84
6/19/17,140.35
6/20/17,140.91
6/21/17,144.24
6/22/17,143.69
6/23/17,145.41
6/26/17,144.96
6/27/17,142.54
6/28/17,143.81
6/29/17,141.24
6/30/17,141.44
7/3/17,138.41
7/5/17,141.21
7/6/17,140.75
7/7/17,142.22
7/10/17,143.34
7/11/17,142.93
7/12/17,145.91
7/13/17,145.05
7/14/17,146.16
7/17/17,146.40
7/18/17,147.89
7/19/17,148.92
7/20/17,149.94
7/21/17,149.52
7/24/17,149.53
7/25/17,148.21
7/26/17,149.78
7/27/17,146.20
7/28/17,146.73
7/31/17,146.49
8/1/17,147.36
8/2/17,147.13
8/3/17,147.79
8/4/17,147.71
8/7/17,148.44
8/8/17,147.81
8/9/17,148.35
8/10/17,144.92
8/11/17,146.47
8/14/17,149.16
8/15/17,150.36
8/16/17,151.80
8/17/17,148.23
8/18/17,147.97
8/21/17,149.26
8/22/17,152.25
8/23/17,151.10
8/24/17,150.81
8/25/17,151.45
8/28/17,151.79
8/29/17,152.14
8/30/17,153.67
8/31/17,155.16
9/1/17,155.06
9/5/17,154.28
9/6/17,153.76
9/7/17,155.47
9/8/17,155.34
9/11/17,156.87
9/12/17,156.31
9/13/17,156.24
9/14/17,154.95
9/15/17,154.49
9/18/17,155.77
9/19/17,156.60
9/20/17,149.96
9/21/17,149.30
9/22/17,148.50
9/25/17,144.57
9/26/17,145.40
9/27/17,146.43
9/28/17,146.83
9/29/17,149.18
10/2/17,147.94
10/3/17,148.60
10/4/17,147.95
10/5/17,150.25
10/6/17,151.12
10/9/17,151.50
10/10/17,152.15
10/11/17,153.65
10/12/17,153.61
10/13/17,153.93
10/16/17,150.46
10/17/17,150.38
10/18/17,153.00
10/19/17,171.73
10/20/17,175.64
10/23/17,172.16
10/24/17,171.58
10/25/17,171.83
10/26/17,173.75
10/27/17,177.33
10/30/17,176.03
10/31/17,175.16
11/1/17,176.25
11/2/17,180.94
11/3/17,182.30
11/6/17,180.80
11/7/17,180.88
11/8/17,184.06
11/9/17,181.92
11/10/17,181.72
11/13/17,181.85
11/14/17,181.32
11/15/17,180.08
11/16/17,182.30
11/17/17,182.24
11/20/17,182.34
11/21/17,184.15
11/22/17,182.90
11/24/17,184.46
11/27/17,185.00
11/28/17,185.40
11/29/17,176.85
11/30/17,181.47
12/1/17,179.52
12/4/17,168.44
12/5/17,167.54
12/6/17,173.52
12/7/17,174.61
12/8/17,173.57
12/11/17,174.31
