TIME,Value
1956-01-01,0.37
1956-02-01,0.37
1956-03-01,0.37
1956-04-01,0.75
1956-05-01,1.12
1956-06-01,1.87
1956-07-01,2.24
1956-08-01,1.87
1956-09-01,1.86
1956-10-01,2.23
1956-11-01,2.23
1956-12-01,2.99
1957-01-01,2.99
1957-02-01,3.36
1957-03-01,3.73
1957-04-01,3.72
1957-05-01,3.7
1957-06-01,3.31
1957-07-01,3.28
1957-08-01,3.66
1957-09-01,3.28
1957-10-01,2.91
1957-11-01,3.27
1957-12-01,2.9
1958-01-01,3.62
1958-02-01,3.25
1958-03-01,3.6
1958-04-01,3.58
1958-05-01,3.21
1958-06-01,2.85
1958-07-01,2.47
1958-08-01,2.12
1958-09-01,2.12
1958-10-01,2.12
1958-11-01,2.11
1958-12-01,1.76
1959-01-01,1.4
1959-02-01,1.05
1959-03-01,0.35
1959-04-01,0.35
1959-05-01,0.35
1959-06-01,0.69
1959-07-01,0.69
1959-08-01,1.04
1959-09-01,1.38
1959-10-01,1.73
1959-11-01,1.38
1959-12-01,1.73
1960-01-01,1.03
1960-02-01,1.73
1960-03-01,1.73
1960-04-01,1.72
1960-05-01,1.72
1960-06-01,1.72
1960-07-01,1.37
1960-08-01,1.37
1960-09-01,1.02
1960-10-01,1.36
1960-11-01,1.36
1960-12-01,1.36
1961-01-01,1.71
1961-02-01,1.36
1961-03-01,1.36
1961-04-01,1.02
1961-05-01,1.02
1961-06-01,0.68
1961-07-01,1.35
1961-08-01,1.01
1961-09-01,1.35
1961-10-01,0.67
1961-11-01,0.67
1961-12-01,0.67
1962-01-01,0.67
1962-02-01,1.01
1962-03-01,1.01
1962-04-01,1.34
1962-05-01,1.34
1962-06-01,1.34
1962-07-01,1.0
1962-08-01,1.34
1962-09-01,1.33
1962-10-01,1.33
1962-11-01,1.33
1962-12-01,1.33
1963-01-01,1.33
1963-02-01,1.0
1963-03-01,1.33
1963-04-01,0.99
1963-05-01,0.99
1963-06-01,1.32
1963-07-01,1.32
1963-08-01,1.32
1963-09-01,0.99
1963-10-01,1.32
1963-11-01,1.32
1963-12-01,1.64
1964-01-01,1.64
1964-02-01,1.64
1964-03-01,1.31
1964-04-01,1.31
1964-05-01,1.31
1964-06-01,1.31
1964-07-01,1.3
1964-08-01,0.98
1964-09-01,1.3
1964-10-01,0.97
1964-11-01,1.3
1964-12-01,0.97
1965-01-01,0.97
1965-02-01,0.97
1965-03-01,1.29
1965-04-01,1.62
1965-05-01,1.62
1965-06-01,1.94
1965-07-01,1.61
1965-08-01,1.94
1965-09-01,1.61
1965-10-01,1.93
1965-11-01,1.6
1965-12-01,1.92
1966-01-01,1.92
1966-02-01,2.56
1966-03-01,2.56
1966-04-01,2.87
1966-05-01,2.87
1966-06-01,2.53
1966-07-01,2.85
1966-08-01,3.48
1966-09-01,3.48
1966-10-01,3.79
1966-11-01,3.79
1966-12-01,3.46
1967-01-01,3.46
1967-02-01,2.81
1967-03-01,2.8
1967-04-01,2.48
1967-05-01,2.79
1967-06-01,2.78
1967-07-01,2.77
1967-08-01,2.45
1967-09-01,2.75
1967-10-01,2.43
1967-11-01,2.74
1967-12-01,3.04
1968-01-01,3.65
1968-02-01,3.95
1968-03-01,3.94
1968-04-01,3.93
1968-05-01,3.92
1968-06-01,4.2
1968-07-01,4.49
1968-08-01,4.48
1968-09-01,4.46
1968-10-01,4.75
1968-11-01,4.73
1968-12-01,4.72
1969-01-01,4.4
1969-02-01,4.68
1969-03-01,5.25
1969-04-01,5.52
1969-05-01,5.51
1969-06-01,5.48
1969-07-01,5.44
1969-08-01,5.71
1969-09-01,5.7
1969-10-01,5.67
1969-11-01,5.93
1969-12-01,6.2
1970-01-01,6.18
