Date,AAPL,ADBE,APTV,EPAM,FRT,MELI,MO,NEM,SWK,TTD
2017-03-06,34.83499908,120.1500015,63.63788986,73.31999969,134.3000031,210.7700043,75.58000183,33.00999832,128.5599976,4.234000206
2017-03-07,34.88000107,119.9800034,63.67979813,72.58000183,133.3899994,211.3000031,76.09999847,32.97999954,127.9100037,4.407999992
2017-03-08,34.75,119.5999985,64.2330246,73.31999969,130.5,209.1300049,75.83999634,32.88999939,128.2700043,4.330999851
2017-03-09,34.66999817,119.9100037,63.94802856,73.58000183,127.4400024,209.3800049,76.19000244,32.59999847,127.6299973,4.438000202
2017-03-10,34.78499985,121.0899963,64.61860657,73.79000092,126.9800034,211.2899933,76.44999695,32.93999863,129.1900024,4.578999996
2017-03-13,34.79999924,121.8000031,67.22547913,73.62000275,128.3200073,212.7400055,75.65000153,33.02000046,130.6999969,4.335000038
2017-03-14,34.74750137,121.4400024,67.89605713,73.34999847,129.6199951,212.3000031,75.33999634,32.40000153,129.6900024,4.122000217
2017-03-15,35.11500168,122.1100006,68.97737122,72.93000031,133.0200043,215.1300049,75.66999817,34.09999847,131.0700073,4.15500021
2017-03-16,35.17250061,122.3499985,68.96060181,73.06999969,133,211.5599976,75.30000305,32.81000137,131.1399994,4.018000126
2017-03-17,34.99750137,127.0100021,68.60855103,72.5,134.75,211.2899933,75.16000366,32.84000015,131.3300018,3.950999975
2017-03-20,35.36500168,126.3099976,67.9966507,72.61000061,134.4400024,216.1100006,75.58000183,33.56000137,131.2100067,3.809999943
2017-03-21,34.95999908,125.0699997,65.51551056,72.04000092,134.6699982,205.6999969,75.93000031,34.02999878,129.5700073,3.755000114
2017-03-22,35.35499954,126.2099991,65.99329376,72.56999969,133.1100006,209.6300049,75.06999969,33.84000015,130.6000061,3.864000082
2017-03-23,35.22999954,126.8700027,65.88432312,72.86000061,134.7299957,208.1799927,74.01999664,33.61999893,131.1600037,3.701999903
2017-03-24,35.15999985,127.6999969,66.13579559,73.26999664,134.8000031,210.8600006,73.16999817,33.47999954,130.8000031,3.601999998
2017-03-27,35.22000122,128.25,66.59681702,73.77999878,132.7400055,211.5700073,73.19999695,33.90999985,130.8099976,3.721999884
2017-03-28,35.95000076,128.6900024,67.37636566,74.59999847,133.2599945,211.5099945,73.19000244,33,132.1000061,3.648999929
2017-03-29,36.02999878,129.5800018,67.46856689,75.37000275,133.1499939,216.2899933,72.95999908,33.18999863,132.0099945,3.798000097
2017-03-30,35.98249817,129.6100006,67.89605713,75.91999817,133.3399963,212.5599976,72.05000305,32.93000031,132.6399994,3.673000097
2017-03-31,35.91500092,130.1300049,67.46856689,75.51999664,133.5,211.4700012,71.41999817,32.95999908,132.8699951,3.724999905
2017-04-03,35.92499924,129.5899963,65.59095001,74.33999634,133.8399963,219.9499969,71.62000275,33.88999939,132.3999939,3.701999903
2017-04-04,36.19250107,130.0399933,63.68818283,74.30000305,133.1100006,215.9199982,71.94999695,34.18999863,131.9400024,3.632999897
2017-04-05,36.00500107,129.8899994,62.94216156,74.44000244,133.1100006,215.2799988,71.93000031,34.31000137,131.1000061,3.704999924
2017-04-06,35.91500092,130.1499939,62.96730804,74.87999725,133.1100006,217.7200012,71.41999817,34.16999817,132.4100037,3.770999908
2017-04-07,35.83499908,130.2200012,62.98407364,75.37999725,132.7299957,219.1000061,71.70999908,34.31000137,132.2700043,3.698999882
2017-04-10,35.79249954,130.1600037,63.31098175,75.12000275,133.9499969,219.0599976,71.76000214,34.61000061,132.5200043,3.690000057
2017-04-11,35.40750122,129.9499969,62.79128265,75.48000336,135.0800018,219.7799988,72.08000183,35.13000107,132.5800018,3.755000114
2017-04-12,35.45000076,129.3800049,62.26320267,74.55000305,134.8699951,216.3099976,72.16000366,35.08000183,132.2599945,3.720999956
2017-04-13,35.26250076,129.0500031,61.81894302,74.70999908,134.7400055,215.4600067,71.30000305,34.5,130.5700073,3.684999943
2017-04-17,35.45750046,129.9900055,62.62363815,75.51999664,136.4499969,220.4799957,72.30999756,34.59000015,131.1699982,3.644000053
2017-04-18,35.29999924,129.8099976,62.32187653,75.08999634,137.0500031,217.8300018,72.33999634,34.31999969,131.2100067,3.519000053
2017-04-19,35.16999817,130.2200012,63.17686462,75.56999969,137.4799957,218.8300018,72.11000061,33.52000046,131.0500031,3.585999966
